Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Info
New York,01/01/1959,25.6,42.7,33,23.2,68,,17.2,,76.42,0.3,33.33,,7.1,,1023.7,"Light Snow, Light Drizzle, Fog, Light Rain, Smoke Or Haze",40.71455,-74.00714,
New York,01/02/1959,38.1,48.8,44.1,35.3,73.29,,22.7,,236.12,1,29.17,,8.1,,1006,"Light Drizzle, Rain, Fog, Light Rain",40.71455,-74.00714,
New York,01/03/1959,33.1,46.1,38.9,26.9,62.34,,15.7,,272.62,0,0,,9.6,,1011.1,Smoke Or Haze,40.71455,-74.00714,
New York,01/04/1959,27.4,43.1,36.7,26.2,66.51,,36.7,,236.04,0,0,,7.3,,1005.4,"Light Snow, Light Rain, Smoke Or Haze",40.71455,-74.00714,
New York,01/05/1959,14.6,25.1,17.7,-2.5,40.3,,36.7,,305.75,0,0,,14.8,,1014.3,,40.71455,-74.00714,
New York,01/06/1959,14.6,21.3,17.7,-0.9,43.67,,36.1,,297.08,0,0,,14.4,,1016.3,,40.71455,-74.00714,
New York,01/07/1959,17,33,23.6,6.7,48.24,,25.6,,295.25,0,0,,14.5,,1016.4,,40.71455,-74.00714,
New York,01/08/1959,21.8,33.4,26.3,13.8,59.21,,21.5,,307.58,0,0,,14,,1015.7,,40.71455,-74.00714,
New York,01/09/1959,21.3,30.8,25.5,10.9,53.69,,26.5,,300.5,0,0,,14.3,,1008.3,,40.71455,-74.00714,
New York,01/10/1959,19.6,27.9,24,10.3,55.77,,26.8,,299.5,0,0,,14.4,,1011.7,Snow Showers,40.71455,-74.00714,
New York,01/11/1959,24.2,34.4,28.3,14.4,55.73,,23.1,,306,0,0,,14.7,,1018.5,Snow Showers,40.71455,-74.00714,
New York,01/12/1959,25.5,39.9,32.9,20.5,61.36,,19.8,,276.21,0,0,,10.7,,1024.1,Smoke Or Haze,40.71455,-74.00714,
New York,01/13/1959,33.6,39.8,36,23.7,62,,29.6,,276.96,0,0,,9.4,,1013.2,"Snow Showers, Light Snow, Smoke Or Haze",40.71455,-74.00714,
New York,01/14/1959,29.9,39.8,34.4,21.1,58.58,,18.4,,277.08,0,4.17,,10.8,,1017.6,"Light Rain, Smoke Or Haze",40.71455,-74.00714,
New York,01/15/1959,34.6,44.5,39.3,35.2,85.3,,12.9,,170.46,0,12.5,,2.5,,1004.3,"Light Drizzle, Fog, Light Rain, Smoke Or Haze",40.71455,-74.00714,
New York,01/16/1959,29.7,44.4,39.2,36.4,89.6,,25.2,,207.04,0.4,70.83,,4.3,,987.8,"Ice, Snow Showers, Light Snow, Light Drizzle, Fog, Light Rain",40.71455,-74.00714,
New York,01/17/1959,15.7,24.2,19.9,7.5,58.39,,22.7,,250.17,0,4.17,,11.9,,1005.3,"Snow Showers, Smoke Or Haze",40.71455,-74.00714,
New York,01/18/1959,13.5,24.2,18.7,4,52.55,,15.7,,250.42,0,0,,11.5,,1022.6,Smoke Or Haze,40.71455,-74.00714,
New York,01/19/1959,16.1,36.4,27.6,14.8,58.3,,23.3,,212.92,0,0,,8.3,,1022.3,Smoke Or Haze,40.71455,-74.00714,
New York,01/20/1959,34.5,36.1,35,30.2,83.74,,13.5,,118.54,0.4,54.17,,2.8,,1023.7,"Ice, Light Snow, Fog, Light Rain, Smoke Or Haze",40.71455,-74.00714,
New York,01/21/1959,34.9,53.6,42.7,41.5,95.4,,17.7,,114.58,0.1,37.5,,1.6,,1012.8,"Fog, Rain Showers, Light Rain, Smoke Or Haze",40.71455,-74.00714,
New York,01/22/1959,27.6,56.2,44.4,31.6,63.39,,22.7,,240.5,0.1,29.17,,11,,1005.2,"Fog, Rain Showers",40.71455,-74.00714,
New York,01/23/1959,21.8,29.8,25.1,5.9,43.47,,19.4,,267.67,0,0,,13.9,,1025.6,,40.71455,-74.00714,
New York,01/24/1959,20.5,36.6,27.2,9.5,47.29,,16,,253.5,0,0,,12.3,,1028.2,,40.71455,-74.00714,
New York,01/25/1959,35.8,52.1,42.3,25.3,51.69,,21.5,,246.62,0,0,,11.2,,1015,"Light Snow, Smoke Or Haze",40.71455,-74.00714,
New York,01/26/1959,21.3,34.6,26.9,10.4,50.67,,19.5,,89.42,0,8.33,,12.8,,1022.5,"Snow Showers, Light Snow",40.71455,-74.00714,
New York,01/27/1959,25.6,32.6,28.8,25.2,86.58,,14,,199.67,0.1,37.5,,3.7,,1019.9,"Light Snow, Fog, Freezing Drizzle/Freezing Rain, Smoke Or Haze",40.71455,-74.00714,
New York,01/28/1959,19,38.4,28.1,14.7,57.14,,12.3,,226,0,0,,6.4,,1025.3,Smoke Or Haze,40.71455,-74.00714,
New York,01/29/1959,24.9,40.1,33,24.9,72.21,,12.8,,202.21,0,0,,3.5,,1026.8,Smoke Or Haze,40.71455,-74.00714,
New York,01/30/1959,39,56.5,44.7,37.5,78.31,,28,,243.33,0,12.5,,5.9,,1015.3,"Light Drizzle, Fog, Rain Showers, Light Rain, Smoke Or Haze",40.71455,-74.00714,
New York,01/31/1959,21.8,38.5,32.3,15.6,49.95,,22.1,,316.29,0,0,,14.7,,1028,,40.71455,-74.00714,
New York,02/01/1959,15.7,24.4,19.8,4.2,50.62,,21.5,,306.92,0,0,,14.9,,1037.6,,40.71455,-74.00714,
New York,02/02/1959,8,27.4,17.2,-0.5,46.1,,17.2,,290.08,0,0,,12.2,,1037.5,Smoke Or Haze,40.71455,-74.00714,
New York,02/03/1959,16.6,39.9,28.1,13.8,55.35,,20.4,,212.79,0,4.17,,7.5,,1022.4,"Fog, Light Rain, Smoke Or Haze",40.71455,-74.00714,
New York,02/04/1959,35.3,47.5,43.1,38.6,84.72,,18.4,,209.08,0.6,41.67,,4,,1000.1,"Light Drizzle, Rain, Fog, Light Rain, Smoke Or Haze",40.71455,-74.00714,
New York,02/05/1959,35.5,47.4,41.5,28.8,61.47,,16.2,,162,0,0,,6.6,,1011,"Light Rain, Smoke Or Haze",40.71455,-74.00714,
New York,02/06/1959,21.8,40.3,34.9,11.8,39.71,,24.1,,274.42,0,0,,11.9,,1021,Smoke Or Haze,40.71455,-74.00714,
New York,02/07/1959,17.9,42.4,29.7,10.2,43.9,,20.7,,243,0,0,,11.8,,1029.3,Smoke Or Haze,40.71455,-74.00714,
New York,02/08/1959,26.5,44,37.9,17.3,43.84,,21.6,,255.12,0,0,,12.8,,1020.1,Smoke Or Haze,40.71455,-74.00714,
New York,02/09/1959,19.1,31.7,23.3,13.5,68.68,,18.1,,71.79,0.2,54.17,,7.1,,1027.6,"Light Snow, Light Drizzle, Fog, Freezing Drizzle/Freezing Rain, Light Rain, Smoke Or Haze, Light Freezing Rain",40.71455,-74.00714,
New York,02/10/1959,32.7,44.1,38.4,37.2,95.33,,16.6,,145.12,0.5,62.5,,1.3,,1005.1,"Light Drizzle, Rain, Fog, Rain Showers, Light Rain, Smoke Or Haze",40.71455,-74.00714,
New York,02/11/1959,23.7,40.5,33.5,22.4,66.39,,27.1,,240.46,0,4.17,,9.4,,1018.5,"Snow Showers, Light Drizzle, Fog, Rain Showers, Smoke Or Haze",40.71455,-74.00714,
New York,02/12/1959,19.5,33.6,26.6,13.6,58.32,,19.4,,205.42,0,0,,10,,1037.7,Smoke Or Haze,40.71455,-74.00714,
New York,02/13/1959,31.1,51,40.7,34.3,78.41,,17.2,,251.88,0.1,29.17,,6.5,,1021.9,"Light Drizzle, Rain Showers, Fog, Light Rain, Smoke Or Haze",40.71455,-74.00714,
New York,02/14/1959,34.6,38.8,36.4,31,81.02,,10.7,,57,0.4,37.5,,5,,1021.5,"Light Drizzle, Fog, Light Rain, Smoke Or Haze",40.71455,-74.00714,
New York,02/15/1959,29.9,44.9,38.6,29.8,71.76,,32,,246.33,0.1,12.5,,10.8,,1014,"Light Drizzle, Fog, Light Rain, Smoke Or Haze",40.71455,-74.00714,
New York,02/16/1959,25.6,43.1,34.7,24.3,65.85,,19.1,,147.83,0,0,,7.9,,1020.6,Smoke Or Haze,40.71455,-74.00714,
New York,02/17/1959,33.1,50.6,42.1,30.2,63.54,,13.5,,212.5,0,0,,4.3,,1011,Smoke Or Haze,40.71455,-74.00714,
New York,02/18/1959,35,44,38.8,33.4,80.96,,20,,144.75,0,4.17,,3.9,,1000.3,"Light Drizzle, Fog, Rain Showers, Light Rain, Smoke Or Haze",40.71455,-74.00714,
New York,02/19/1959,11.9,33.2,22.9,5.9,48.35,,30.2,,301.25,0,0,,14.8,,1007.2,,40.71455,-74.00714,
New York,02/20/1959,8.9,21.4,14.7,-5.1,41.02,,20.4,,290.71,0,0,,14.9,,1023.3,,40.71455,-74.00714,
New York,02/21/1959,16.2,34.5,25.6,6.1,43.54,,24.1,,258.21,0,0,,12.5,,1019.4,Smoke Or Haze,40.71455,-74.00714,
New York,02/22/1959,20,37.3,27.8,8.6,44.84,,19.3,,275.96,0,0,,13.6,,1026.1,Smoke Or Haze,40.71455,-74.00714,
New York,02/23/1959,26.7,37,32.3,27.9,83.92,,11.2,,140.29,0.1,20.83,,2.7,,1009.6,"Snow Showers, Light Snow, Light Drizzle, Fog, Light Rain, Smoke Or Haze",40.71455,-74.00714,
New York,02/24/1959,25.1,39.8,34,20.6,59.55,,26.6,,285.17,0,4.17,,10.6,,1008.7,"Fog, Rain Showers, Light Rain, Smoke Or Haze",40.71455,-74.00714,
New York,02/25/1959,18.6,40.9,28.3,9.8,46.52,,17.6,,255.75,0,0,,11.1,,1023.7,Smoke Or Haze,40.71455,-74.00714,
New York,02/26/1959,26.3,44.1,34.9,21.1,59.35,,11.6,,173.29,0,0,,5.2,,1019.9,Smoke Or Haze,40.71455,-74.00714,
New York,02/27/1959,30.4,49.4,38.8,31.8,77.7,,10.5,,156.21,0,0,,3.1,,1019.3,"Fog, Smoke Or Haze",40.71455,-74.00714,
New York,02/28/1959,33.4,42.4,36.5,32.8,86.87,,11.4,,57.25,0,0,,2.5,,1022.3,"Fog, Smoke Or Haze",40.71455,-74.00714,
New York,03/01/1959,31.9,42.8,36.6,34.9,93.83,,13.9,,92.21,0,0,,1.7,,1010,"Fog, Smoke Or Haze",40.71455,-74.00714,
